"#caff70","#caff70","darkolivegreen1","donkerolijfgroen1"
"#bcee68","#bcee68","darkolivegreen2","donkerolijfgroen2"
"#a2cd5a","#a2cd5a","darkolivegreen3","donkerolijfgroen3"
"#6e8b3d","#6e8b3d","darkolivegreen4","donkerolijfgroen4"
"#f5f5dc","#f5f5dc","beige","beige/oker"
"#7cfc00","#7cfc00","lawngreen","grasgroen"
"#7fff00","#7fff00","chartreuse","chartreuse"
"#76ee00","#76ee00","chartreuse2","chartreuse2"
"#66cd00","#66cd00","chartreuse3","chartreuse3"
"#458b00","#458b00","chartreuse4","chartreuse4"
"#32cd32","#32cd32","limegreen","limegroen"
"#90ee90","#90ee90","lightgreen","lichtgroen"
"#98fb98","#98fb98","palegreen","faalgroen"
"#9aff9a","#9aff9a","palegreen1","faalgroen1"
"#90ee90","#90ee90","palegreen2","faalgroen2"
"#7ccd7c","#7ccd7c","palegreen3","faalgroen3"
"#548b54","#548b54","palegreen4","faalgroen4"
"#00ff00","#00ff00","green","groen"
"#00ee00","#00ee00","green2","groen2"
"#00cd00","#00cd00","green3","groen3"
"#008b00","#008b00","green4","groen4"
"#228b22","#228b22","forestgreen","bosgroen"
"#006400","#006400","darkgreen","donkergroen"
"#00fa9a","#00fa9a","medspringgreen","middenlentegroen"
"#00ff7f","#00ff7f","springgreen","lentegroen"
"#00ee76","#00ee76","springgreen2","lentegroen2"
"#00cd66","#00cd66","springgreen3","lentegroen3"
"#008b45","#008b45","springgreen4","lentegroen4"
"#3cb371","#3cb371","mediumseagreen","middenzeegroen"
"#2e8b52","#2e8b52","seagreen","zeegroen"
"#54ff9f","#54ff9f","seagreen1","zeegroen1"
"#4eee94","#4eee94","seagreen2","zeegroen2"
"#43cd80","#43cd80","seagreen3","zeegroen3"
"#2e8b52","#2e8b52","seagreen4","zeegroen4"
"#8fbc8f","#8fbc8f","darkseagreen","donkerzeegroen"
"#c1ffc1","#c1ffc1","darkseagreen1","donkerzeegroen1"
"#b4eeb4","#b4eeb4","darkseagreen2","donkerzeegroen2"
"#9bcd9b","#9bcd9b","darkseagreen3","donkerzeegroen3"
"#698b69","#698b69","darkseagreen4","donkerzeegroen4"
"#f0fff0","#f0fff0","honeydew","honingdauw"
"#e0eee0","#e0eee0","honeydew2","honingdauw2"
"#c1cdc1","#c1cdc1","honeydew3","honingdauw3"
"#838b83","#838b83","honeydew4","honingdauw4"
"#7fffd4","#7fffd4","aquamarine","aquamarijn"
"#76eec6","#76eec6","aquamarine2","aquamarijn2"
"#66cdaa","#66cdaa","aquamarine3","aquamarijn3"
"#458b74","#458b74","aquamarine4","aquamarijn4"
"#66cdaa","#66cdaa","mediumaquamarine","middenaquamarijn"
"#20b2aa","#20b2aa","lightseagreen","lichtzeegroen"
"#48d1cc","#48d1cc","mediumturquoise","middenturquoise"
"#40e0d0","#40e0d0","turquoise","turquoise"
"#00f5ff","#00f5ff","turquoise1","turquoise1"
"#00e5ee","#00e5ee","turquoise2","turquoise2"
"#00c5cd","#00c5cd","turquoise3","turquoise4"
"#00868b","#00868b","turquoise4","turquoise4"
"#00ced1","#00ced1","darkturquoise","donkerturquoise"
"#f5fffa","#f5fffa","mintcream","muntcreme"
"#afeeee","#afeeee","paleturquoise","faalturkoois"
